run_id,protocol,mode,rate19,loss19,rate20,loss20,rate21,loss21,block_k,repeat_index,sender_returncode,receiver_returncode,transfer_time,received_wire_bytes,receiver_wire_throughput_mbps,application_goodput_mbps,expected_total_bytes,reconstructed_source_bytes,missing_packet_count,packet_loss_rate,recovery_rate,residual_loss_rate,block_success_rate,file_complete,continuity_check,sender_log,receiver_log
1,tcp,single,10mbit,3%,10mbit,3%,10mbit,3%,,1,0,0,119.86,116389364,7.77,7.77,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
2,tcp,single,10mbit,3%,10mbit,3%,10mbit,3%,,2,0,0,111.54,116389364,8.35,8.35,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
3,tcp,single,10mbit,3%,10mbit,3%,10mbit,3%,,3,0,0,115.5,116389364,8.06,8.06,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
4,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,1,0,0,75.48,116389364,12.34,12.34,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
5,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,2,0,0,76.03,116389364,12.25,12.25,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
6,tcp,single,20mbit,3%,20mbit,3%,20mbit,3%,,3,0,0,79.22,116389364,11.75,11.75,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
7,tcp,single,50mbit,3%,50mbit,3%,50mbit,3%,,1,0,0,64.73,116389364,14.39,14.39,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
8,tcp,single,50mbit,3%,50mbit,3%,50mbit,3%,,2,0,0,72.03,116389364,12.93,12.93,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
9,tcp,single,50mbit,3%,50mbit,3%,50mbit,3%,,3,0,0,66.96,116389364,13.9,13.9,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
10,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,1,0,0,40.0,116389364,23.28,23.28,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
11,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,2,0,0,39.21,116389364,23.75,23.75,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
12,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,3,0,0,39.98,116389364,23.29,23.29,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
13,tcp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,1,0,0,27.14,116389364,34.31,34.31,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
14,tcp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,2,0,0,28.08,116389364,33.16,33.16,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
15,tcp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,3,0,0,24.79,116389364,37.57,37.57,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
16,tcp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,1,0,0,24.99,116389364,37.26,37.26,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
17,tcp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,2,0,0,21.77,116389364,42.76,42.76,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
18,tcp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,3,0,0,30.43,116389364,30.6,30.6,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
19,udp,single,10mbit,3%,10mbit,3%,10mbit,3%,,1,0,0,94.74,111130559,9.38,0.0,,13200,5676,5.852,,,,,"gap at offset 13200, next packet offset is 14400",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
20,udp,single,10mbit,3%,10mbit,3%,10mbit,3%,,2,0,0,94.77,110954097,9.37,0.0,,10800,5821,6.0015,,,,,"gap at offset 10800, next packet offset is 12000",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
21,udp,single,10mbit,3%,10mbit,3%,10mbit,3%,,3,0,0,94.72,110949229,9.37,0.0,,7200,5825,6.0056,,,,,"gap at offset 7200, next packet offset is 8400",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
22,udp,single,20mbit,3%,20mbit,3%,20mbit,3%,,1,0,0,47.38,111051457,18.75,0.0,,4800,5741,5.919,,,,,"gap at offset 4800, next packet offset is 6000",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
23,udp,single,20mbit,3%,20mbit,3%,20mbit,3%,,2,0,0,47.36,111091618,18.76,0.0,,9600,5708,5.885,,,,,"gap at offset 9600, next packet offset is 10800",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
24,udp,single,20mbit,3%,20mbit,3%,20mbit,3%,,3,0,0,47.4,111119609,18.75,0.0,,3600,5685,5.8613,,,,,"gap at offset 3600, next packet offset is 4800",/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
25,udp,single,50mbit,3%,50mbit,3%,50mbit,3%,,1,0,0,,,,,,,,,,,,,,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
26,udp,single,50mbit,3%,50mbit,3%,50mbit,3%,,2,0,0,0.0,0,0.0,0.0,,0,0,0.0,,,,,continuous,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
27,udp,single,50mbit,3%,50mbit,3%,50mbit,3%,,3,0,0,0.0,0,0.0,0.0,,0,0,0.0,,,,,continuous,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
28,udp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,1,0,0,31.62,110988225,28.08,0.0,,8400,5793,5.9727,,,,,"gap at offset 8400, next packet offset is 9600",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
29,udp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,2,0,0,31.6,111283953,28.17,0.0,,4800,5550,5.7221,,,,,"gap at offset 4800, next packet offset is 6000",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
30,udp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,3,0,0,31.57,111001609,28.13,0.01,,40800,5782,5.9613,,,,,"gap at offset 40800, next packet offset is 42000",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
31,udp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,1,0,0,15.78,111061242,56.3,0.01,,27600,5733,5.9108,,,,,"gap at offset 27600, next packet offset is 28800",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
32,udp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,2,0,0,15.8,111122078,56.27,0.02,,32400,5683,5.8592,,,,,"gap at offset 32400, next packet offset is 33600",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
33,udp,multi,20mbit,3%,20mbit,3%,20mbit,3%,,3,0,0,15.8,111186593,56.31,0.02,,49200,5630,5.8046,,,,,"gap at offset 49200, next packet offset is 50400",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
34,udp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,1,0,0,6.31,111069764,140.73,0.22,,171600,5726,5.9036,,,,,"gap at offset 171600, next packet offset is 172800",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
35,udp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,2,0,0,6.32,111000386,140.6,0.04,,34800,5783,5.9623,,,,,"gap at offset 34800, next packet offset is 36000",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
36,udp,multi,50mbit,3%,50mbit,3%,50mbit,3%,,3,0,0,6.31,110965102,140.77,0.02,,16800,5812,5.9922,,,,,"gap at offset 16800, next packet offset is 18000",/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/udp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
37,fec,single,10mbit,3%,10mbit,3%,10mbit,3%,4,1,0,0,119.53,140066002,9.37,7.69,,,,,78.54,1.28,96.87,,"gap at offset 0, next packet offset is 1200",/home/fyp1/Downloads/logs/fec_single_l19-3%_l20-3%_l21-3%_bk-4_rep-1_sender.log,/home/fyp1/Downloads/logs/fec_single_l19-3%_l20-3%_l21-3%_bk-4_rep-1_receiver.log
38,fec,single,10mbit,3%,10mbit,3%,10mbit,3%,4,2,0,0,119.49,140108959,9.38,7.69,,,,,78.22,1.28,96.91,,"gap at offset 572400, next packet offset is 574800",/home/fyp1/Downloads/logs/fec_single_l19-3%_l20-3%_l21-3%_bk-4_rep-2_sender.log,/home/fyp1/Downloads/logs/fec_single_l19-3%_l20-3%_l21-3%_bk-4_rep-2_receiver.log
