run_id,protocol,mode,rate19,loss19,rate20,loss20,rate21,loss21,block_k,repeat_index,sender_returncode,receiver_returncode,transfer_time,received_wire_bytes,receiver_wire_throughput_mbps,application_goodput_mbps,expected_total_bytes,reconstructed_source_bytes,missing_packet_count,packet_loss_rate,recovery_rate,residual_loss_rate,block_success_rate,file_complete,continuity_check,sender_log,receiver_log
1,tcp,single,30mbit,0%,30mbit,0%,30mbit,0%,,1,0,0,32.44,116389364,28.7,28.7,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-1_receiver.log
2,tcp,single,30mbit,0%,30mbit,0%,30mbit,0%,,2,0,0,32.44,116389364,28.7,28.7,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-2_receiver.log
3,tcp,single,30mbit,0%,30mbit,0%,30mbit,0%,,3,0,0,32.44,116389364,28.7,28.7,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-0%_l20-0%_l21-0%_bk-na_rep-3_receiver.log
4,tcp,multi,10mbit,0%,10mbit,0%,10mbit,0%,,1,0,0,32.43,116389364,28.71,28.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-1_receiver.log
5,tcp,multi,10mbit,0%,10mbit,0%,10mbit,0%,,2,0,0,32.43,116389364,28.71,28.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-2_receiver.log
6,tcp,multi,10mbit,0%,10mbit,0%,10mbit,0%,,3,0,0,32.43,116389364,28.71,28.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-0%_l20-0%_l21-0%_bk-na_rep-3_receiver.log
7,tcp,single,30mbit,3%,30mbit,3%,30mbit,3%,,1,0,0,69.22,116389364,13.45,13.45,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
8,tcp,single,30mbit,3%,30mbit,3%,30mbit,3%,,2,0,0,74.22,116389364,12.55,12.55,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
9,tcp,single,30mbit,3%,30mbit,3%,30mbit,3%,,3,0,0,70.71,116389364,13.17,13.17,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
10,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,1,0,0,39.16,116389364,23.78,23.78,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-1_receiver.log
11,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,2,0,0,40.49,116389364,23.0,23.0,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-2_receiver.log
12,tcp,multi,10mbit,3%,10mbit,3%,10mbit,3%,,3,0,0,41.73,116389364,22.31,22.31,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-3%_l20-3%_l21-3%_bk-na_rep-3_receiver.log
13,tcp,single,30mbit,5%,30mbit,5%,30mbit,5%,,1,0,0,197.52,116389364,4.71,4.71,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-1_receiver.log
14,tcp,single,30mbit,5%,30mbit,5%,30mbit,5%,,2,0,0,217.27,116389364,4.29,4.29,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-2_receiver.log
15,tcp,single,30mbit,5%,30mbit,5%,30mbit,5%,,3,0,0,194.46,116389364,4.79,4.79,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-5%_l20-5%_l21-5%_bk-na_rep-3_receiver.log
16,tcp,multi,10mbit,5%,10mbit,5%,10mbit,5%,,1,0,0,81.25,116389364,11.46,11.46,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-1_receiver.log
17,tcp,multi,10mbit,5%,10mbit,5%,10mbit,5%,,2,0,0,81.14,116389364,11.48,11.48,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-2_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-2_receiver.log
18,tcp,multi,10mbit,5%,10mbit,5%,10mbit,5%,,3,0,0,78.11,116389364,11.92,11.92,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-3_sender.log,/home/fyp1/Downloads/logs/tcp_multi_l19-5%_l20-5%_l21-5%_bk-na_rep-3_receiver.log
19,tcp,single,30mbit,10%,30mbit,10%,30mbit,10%,,1,0,0,1048.89,116389364,0.89,0.89,116389364,116389364,,,,,,Yes,continuous,/home/fyp1/Downloads/logs/tcp_single_l19-10%_l20-10%_l21-10%_bk-na_rep-1_sender.log,/home/fyp1/Downloads/logs/tcp_single_l19-10%_l20-10%_l21-10%_bk-na_rep-1_receiver.log
